Character,Line
Stan,"You guys, you guys! Chef is going away. 
"
Kyle,"Going away? For how long?
"
Stan,"Forever.
"
Chef,"I'm sorry boys.
"
Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club. 
"
Chef,"Wow!
"
Mrs. Garrison,"Chef?? What kind of questions do you think adventuring around the world is gonna answer?!
"
Chef,"What's the meaning of life? Why are we here?
"
Mrs. Garrison,"I hope you're making the right choice.
"
Cartman,"I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him! 
"
Stan,"Dude, how are we gonna go on? Chef was our fuh...f-ffriend. 
"
Mayor McDaniels,"And we will all miss you, Chef,  but we know you must do what your heart tells you..
"
Jimbo,"Bye-bye!
"
Gerald,"Good-bye!
"
Mr. Mackey,"So long!
"
A Man,"So long, Chef!
"
A Sign-Holder,"Good-bye, Chef!
"
Randy,"Good-bye, Chef! Have a great time with the Super Adventure Club!
"
Chef,"Good-bye! ..
"
Kyle,"Draw two card, fatass.
"
Cartman,"Reverse to you, Jew. 
"
Stan,"I'll get it. 
"
Chef,"Hello there, children!
"
Stan,"He's back!
"
Kyle,"Yeah!
"
Cartman,"All right! 
"
Kyle,"Chef! I can't believe you're back!
"
Chef,"Well, it's true.
"
Stan,"But are you back for good?
"
Chef,"That's right.
"
Mrs. Garrison,"Hey everybody! Chef's back!
"
Patrons,"What? All right! Yeah! 
"
Randy,"Oh, finally! 
"
Gerald,"Wow! It seems like you had a great time with the Super Adventure Club, Chef. They sound like really interesting people.
"
Chef,"Yeah!
"
Mrs. Garrison,"But now that you're back here, does that mean that you're not in the Super Adventure Club anymore?
"
Chef,"Nnono!
"
Randy,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?
"
Chef,"That's right.
"
Randy,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?
"
Chef,"That's right. Randy! 
"
Jimbo,"Well Chef, you're welcome to stay with me until you buy another house.
"
Chef,"Thank you. Jimbo.
"
Randy,"Well, come on everybody. I'm sure Chef would like a little time to get moved back in.
"
Chef,"That's right! Thank you. Good-bye- Everybody.
"
Townsfolk,"Later. Great to have you back. Bye-bye. See ya Chef. See you later. Bye-bye
"
Kyle,"Well, I- guess we'll see you in school tomorrow, Chef.
"
Chef,"You bet! Good-bye. Children! 
"
Stan,"Right. Uh, see ya.
"
Cartman,"Uh, guys? Did Chef seem a little, uh, trippy to you?
"
Stan,"Well, look. he said he's happier now. Maybe he just needs to rest up a little.
"
Kyle,"Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.
"
Stan,"Yeah, but whatever, I'm just glad he's back for good.
"
Kenny,"(Yeah, me too.)
"
A Boy,"It's really weird what he said. I don't know, it kind of confused me.
"
Cartman,"Oh boy oh boy, I can't wait to have Chef's lunch food again.
"
Kyle,"Yeah. I hope he makes his Salisbury steak with buttered noodles! 
"
Clyde,"You guys, you guys.
"
Stan,"What?
"
Clyde,"Something's wrong with Chef. He's saying some really weird stuff.
"
Kyle,"Like what?
"
Clyde,"I think...  I think he wants to have sex with me.
"
Stan,"What??
"
Clyde,"I gotta- I gotta go. 
"
Kyle,"Weirdo. 
"
Chef,"Hello there, children!
"
The Boys,"Hey Chef.
"
Chef,"How's it goin'?
"
Kyle,"Good.
"
Chef,"Well, how about I meet you boys after work and we make love?
"
Cartman,"Excuse me?
"
Chef,"Come on, children! You're my sexual fantasy. Let's all make sweet love.
"
Kyle,"...Chef?? A-are you okay?
"
Chef,"I want to stick my balls inside your rectum, Kyle.
"
Stan,"Dude, what are you saying??
"
Chef,"I'm gonna make love to your asshole, children.
"
Stan,"...WHAT??
"
Det. Jarvis,"Hi kids, I'm Detective Jarvis. I need to ask you all some difficult questions about your school cafeteria chef.
"
Kyle,"This doesn't make any sense!
"
Det. Jarvis,"We have some information that all this time Chef has been and still is a pedophile.
"
Stan,"No, he's not.
"
Det. Jarvis,"Uh huh.
"
Stan,"No, he's not.
"
Det. Jarvis,"Yeah, yeah he is so.
"
Butters,"What's a pedophile?
"
Det. Jarvis,"Now, we need some testimony in order to arrest Chef,  so I'm gonna use this doll to ask you kids a few questions. Did Chef ever touch any of you... here? 
"
Stan,"NO!
"
Det. Jarvis,"Okay, did he touch you here? 
"
The Class,"NO!
"
Det. Jarvis,"Did he ever do this? How about this? 
"
Butters,"My Uncle Bud did that to me once! 
"
Det. Jarvis,"Did Chef ever try one of these on for size? 
"
Kyle,"Goddammit, Chef isn't like that! Something funny is going on around here!
"
Det. Jarvis,"Young man, will you PLEASE pay attention! This is very important stuff! Ohhh. Ohhhhhh.
"
Chef,"Hello there, children!
"
Kyle,"Chef, the police are asking questions about you!
"
Chef,"Oh really? Well, let's all go home and make love.
"
Stan,"No, Chef, we don't wanna make love to you!
"
Chef,"Kenny, how would you like to sodomize my black ass
"
Kyle,"Chef, CHEF! You need to get out of here before you get arrested, all right?!
"
Chef,"I specializes in your asshole, Kyle. 
"
Cartman,"...Man, I can't believe all this time, Chef just wanted us for sex.
"
Kyle,"He didn't want us for sex, fatass! Something is making him say those things.
"
Kenny,"(Like what?)
"
Kyle,"Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.
"
Stan,"Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.
"
Kenny,"(Yeah! I think...)
"
Cartman,"Yeah!
"
Kyle,"All right, come on guys!
"
Cartman,"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs. 
"
Butler,"May I help you.
"
Kyle,"Ahh, hi, can we speak to the head guy or something?
"
Butler,"Right this way. 
"
Head Adventurer,"Now, the upper rim of Kilimanjaro should be quite a trek, and so we'll need to have a-
"
Butler,"Excuse me, sir. These boys wanted to speak with you.
"
Head Adventurer,"Ahh yes, splendid! Good afternoon, lads! I'm Head Adventurer William P. Connolly, Esquire! Welcome, to the Super Adventure Club!
"
Club Members,"Tally ho!
"
Mr. Connolly,"Indeed!
"
Kyle,"Uh, hi. Our friend joined your club a while back, and now he wants to molest kids. 
"
Mr. Connolly,"What? Well... well yes, of course! That's what the Super Adventure Club does!
"
Cartman,"...Huh?
"
Marksman,"We travel the world and have sex with children!
"
Marine,"Yes, what else would we do?
"
Kyle,"Well, we thought you went exploring and like, hunting and stuff!
"
Mr. Connolly,"Noo, no, that's the Adventure Club. We're the Super Adventure Club!  Next week, we'll be heading to the outer banks of the Amazon, where we will make camp and have sex with children of the Ugani tribe, then it's off to the mighty Himalayas, where we will climb K-2, and molest several Tibetan children on the east summit.
"
Kyle,"...Dude!
"
Mr. Connolly,"I know, but it gets even better! From there we will kayak to the fruitful banks of the Mele River in Africa, where the secret and mysterious Hanimi people have children who have never seen a white man's erect penis. Of course, we're always looking for kids to have sex with on the plane rides over to these places, so how would you ALL like to join the Super Adventure Club!
"
Stan,"NO!!
"
Mr. Connolly,"No? Oh really? Perhaps I should ask you again?  How would you like to join the Super Adventure Club? 
"
Stan,"No! 
"
Kyle,"Dude, what are you doing?!
"
Mr. Connolly,"Oh well, it doesn't work on everybody.  Well, so long then.
"
Kyle,"Just what the hell is that thing?!
"
Mr. Connolly,"What? What thing? I don't see anything.
"
Kyle,"HA! I knew it!
"
Stan,"Knew what?
"
Kyle,"The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!
"
Cartman,"Oh, son of a bitch!
"
Chef,"Come on, children. Let's all go home and make love.
"
Stan,"You need to see a psychiatrist, Chef. It's for your own good.
"
Chef,"I just like to make love up your butt.
"
Woman,"Oh my God!
"
Nurse,"Mr. Chef, is it?
"
Kyle,"All right, come on. 
"
Dr. Neeland,"Hello, I'm Dr. Neeland. What can I do for you today?
"
Kyle,"Hi, uh- our friend has been brainwashed by some fruity little club.
"
Dr. Neeland,"Brainwashed.
"
Stan,"Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr.
"
Dr. Neeland,"I thought that club was for hiking and kayaking.
"
Stan,"No, that's the Adventure Club. The Super Adventure Club has sex with children.
"
Dr. Neeland,"Oh. ...Oh, that's right, yeah.
"
Chef,"Doctor, do you have- children?
"
Dr. Neeland,"Why, yes, I have two young boys.
"
Chef,"Have you all been sodomizing your children too?
"
Dr. Neeland,"You say he's never been like this before?
"
Cartman,"No, Chef has always been super-cool.
"
Chef,"I'm gonna make love to the children.
"
Dr. Neeland,"He's pretty brainwashed all right. Worst case I've ever seen.
"
Cartman,"So what can we do??
"
Dr. Neeland,"I'm afraid there's no simple answer. When somebody's brainwashed it can take months, even years, to reverse the process.
"
Kyle,"But we don't have years! If Chef keeps this up, he's gonna go to jail forever!
"
Dr. Neeland,"Tell me, what was Chef's favorite thing to do before it was having sex with children?
"
Stan,"Having sex with women.
"
Dr. Neeland,"Then that's it. We'd better get your friend to the Peppermint Hippo right away.
"
DJ,"All right guys, be sure to tip the waitresses; this is two for one; put your hands together, this is Monique!
"
Chef,"Aw, come on, children. Let's go home.
"
Stan,"This isn't working.
"
Dr. Neeland,"Well let's... give it some more time, kids. 
"
Stripper,"Would you like to daaance???
"
Kyle,"No thanks. We're trying to unbrainwash our friend.
"
Stripper,"Daaance??? Anybody wanna daaance???
"
Cartman,"Come on, bitch! Dance!
"
Blonde,"Up yours, fatty.
"
Cartman,"Bitch, I'll twist your nuts off!
"
DJ,"All right guys, help me feel it out to them; we got a featured dancer coming out next; put your hands together for... Spontaneous Bootay! 
"
Stan,"Come on guys, we might as well go. 
"
Chef,"God-damn!
"
Stan,"Chef, we're leaving.
"
Dr. Neeland,"Nono, wait. Let him go. 
"
Spontaneous Bootay,"Come here, chubby. 
"
Chef,"Wait a minute.
"
Stan,"He's remembering.
"
Chef,"Children! What have I done?
"
Cartman,"It's okay Chef. Go on, remember!
"
Chef,"I'm goinna- I'm gonna-
"
Kyle,"Come on, Chef! You can do it!
"
Chef,"I'm gonna make love to you woman, 'gonna lay you down by the fire!
"
The Boys,"Yay!
"
Kenny,"(Chef!)
"
Chef,"Hey children, everybody! I'm back!  Ow.
"
Mr. Connolly,"Great shot, William! Hit him with another. 
"
Chef,"Oh! 
"
The Boys,"Chef!
"
Mr. Connolly,"Tally ho, lads! I must say you're starting to become quite a thorn in my balls.
"
Stan,"Where's Chef?! What have you done with him?!
"
Mr. Connolly,"He's safe.  He's fasting in the Deprivation Room and being read the Super Adventure Club manual. We've got to undo the damage you've done.
"
Cartman,"Look: If you wanna go around the world molesting kids, that's totally fine. But why do you need Chef?!
"
Mr. Connolly,"We don't need him, he needs us! Our club offers hope. Do you think we go around the world molesting children just because it feels really really really really good?! No! Our club has a message! And a secret that explains the mysteries of life!
"
Stan,"Oh Jesus, here we go.
"
Mr. Connolly,"Very well. I'm now going to tell you the secret of the Super Adventure Club.
"
Stan,"We don't wanna hear it.
"
Mr. Connolly,"You see, the Super Adventure Club was founded by the greatest explorer of all time, William P. Phinehas!  Phinehas climbed the highest peaks, tamed the mightiest rivers,  but every time he got somewhere, he realized that other explorers had beat him to it.  Phinehas was depressed, until he realized that if he couldn't be the first to discover places, he could be the first to have sex with the native children that inhabited those areas!  Phinehas quickly went down in history books as the first man to have sex with the Aborigine children at Uluru, and the first explorer to bugger all the underage mountainfolk of Nepal.  But now the most wonderful part. You see, after having sex with all those children, Phinehas realized that... molesting all those kids... had made him immortal.
"
Stan,"Immortal.
"
